Word,Furigana,Definition,Japanese sentence,English translation
越える,こえる,"go over, go across, go beyond",私たちは高い山を越えました。,We went over a tall mountain.
壁,かべ,"wall, partition",壁に絵が掛かっている。,There's a painting on the wall.
そろそろ,そろそろ,"soon, quietly",そろそろ始めましょうか。,It's about time to begin.
危険,きけん,"danger, dangerous",その地域は今、危険だ。,That region is dangerous right now.
全員,ぜんいん,"all members, entire staff",チーム全員に名札が配られました。,The name tags were distributed to the whole team.
慣れる,なれる,grow accustomed to,新しい家にはもう慣れましたか。,Have you gotten used to the new house yet?
効果,こうか,"effect, result",この薬には胃を守る効果がある。,This medicine is effective in protecting your stomach.
内容,ないよう,contents,この本の内容を説明してください。,Please explain the content of this book.
代わり,かわり,substitution,ごま油の代わりにオリーブ油を使いましょう。,Let's use olive oil instead of sesame.
伸ばす,のばす,"stretch, straighten",ストレッチで筋肉を伸ばしましょう。,Let's stretch our muscles with exercises.
延ばす,のばす,"extend, postpone",出発を一週間延ばしたの。,I delayed my departure for a week.
いきなり,いきなり,"all of a sudden, without warning",後ろからいきなり肩をたたかれた。,Someone suddenly tapped on my shoulder from behind.
押さえる,おさえる,hold down,ドアを押さえてください。,Please hold the door.
抑える,おさえる,"suppress, bring under control",彼は怒りを抑えていたの。,He was restraining his anger.
幾つ,いくつ,"how many, how old",娘さんは幾つになりましたか。,How old is your daughter now?
元気,げんき,"healthy, energetic",おかげさまで元気です。,"I'm fine, thank you."
具体的,ぐたいてき,"concrete, specific",具体的な例をいくつか見せてください。,Please show me some concrete examples.
森,もり,"thick woods, forest",私は森を歩くのが好きです。,I like to walk in the forest.
扉,とびら,door,彼は扉を開けたんだ。,He opened the door.
全然,ぜんぜん,"wholly, at all",この本は全然面白くなかった。,This book wasn't interesting at all.
自身,じしん,self,自分自身を疑ってはいけません。,Don't doubt yourself.
勝つ,かつ,win,今日はヤンキースが勝った。,The Yankees won today.
頬,ほお,cheek,彼女はほおを赤く染めたわ。,Her cheeks flushed pink.
似ている,にている,"look like, resemble",私は母に似ています。,I look like my mother.
静か,しずか,"quiet, tranquil",今年の夏休みには静かな所へ行きたい。,I want to go to a quiet place this summer vacation.
学校,がっこう,school,学校は8時半に始まります。,School starts at 8:30.
十分,じゅうぶん,"full, plentiful",お金はまだ十分あります。,We still have plenty of money.
激しい,はげしい,"violent, intense",激しい雨が降っています。,A very heavy rain is falling.
以前,いぜん,"before, ago",以前彼はこの町に住んでいたんだ。,He used to live in this town.
勝手,かって,"selfish, self-centered",勝手なことばかり言わないでくれ。,Don't say self-centered things all the time.
大切,たいせつ,"important, valuable",これは母が大切にしていた指輪です。,This is a ring that meant a lot to my mother.
地,ち,"ground, place",彼はその地で残りの生涯を過ごしたんだ。,He spent the rest of his life in that place.
よろしく,よろしく,"properly, one's regards",よろしくお願いします。,My best regards.
父,ちち,(speaker's)father,私は父が大好きです。,I love my father.
食事,しょくじ,"meal, dinner",今日は上司と食事をする。,I'm eating with the boss today.
肉,にく,"flesh, meat",肉が焼けました。,The meat is cooked.
みんな,みんな,"all, everybody",みんなにお菓子をあげましょう。,Let's give everyone some sweets.
花,はな,flower,きれいな花が咲きました。,Beautiful flowers have bloomed.
起こる,おこる,happen,町で大事件が起こりました。,There was a major incident in town.
立ち上がる,たちあがる,"stand up, take action",彼は急に立ち上がったの。,He suddenly stood up.
向こう,むこう,"the other side, the other party, opponent",友達は向こうにいます。,My friend is over there.
震える,ふるえる,"tremble, quiver, shake",彼は寒くて震えていました。,He was cold and shivering.
主人,しゅじん,"master, husband",主人は今、留守です。,My husband is out now.
甘い,あまい,sweet,このイチゴは甘い。,This strawberry is sweet.
唇,くちびる,"lip, lips",寒くて唇が青くなってしまった。,My lips are blue with cold.
食う,くう,"eat, live on",腹一杯食った。,I ate heartily.
致す,いたす,humbly do,私からご連絡致します。,I'll get in touch with you.
友達,ともだち,"friend, companion",私には友達がたくさんいます。,I have a lot of friends.
増える,ふえる,"increase, accrue",この町は人口が増えた。,The population has increased in this town.
下げる,さげる,"lower, turn down",少し音量を下げてください。,Please turn the volume down a little.
九,きゅう,nine,野球は九人で1チームです。,In baseball there are nine people on one team.
感情,かんじょう,"feeling, emotion",感情とは複雑なものです。,Emotions are complex things.
家族,かぞく,"family, household",うちは五人家族です。,We're a family of five.
そちら,そちら,"there, that way",夕方そちらに着きます。,I'll arrive there in the evening.
黙る,だまる,"become silent, shut one's mouth",彼はいつも黙って仕事をします。,He always works in silence.
日,にち,day,私たちは先月11日に結婚しました。,We got married last month on the 11th.
格好,かっこう,"shape, appearance",格好のいい青年に会ったよ。,I met a good-looking young man.
経験,けいけん,experience,今日の試合はいい経験になりました。,Today's game was a good experience.
着る,きる,"wear, put on",今日はスーツを着ています。,I'm wearing a suit today.
とにかく,とにかく,"in any case, anyway",とにかく現場へ行ってみましょう。,"Anyway, let's go to the site."
渡す,わたす,"carry across, hand over",彼に手紙を渡しました。,I handed him the letter.
遊ぶ,あそぶ,play,子供たちが公園で遊んでいる。,The children are playing in the park.
随分,ずいぶん,"extremely, considerably",随分早く終わったね。,"You finished really early, didn't you?"
数,かず,number,グラスの数が足りません。,There are not enough glasses.
連れて行く,つれていく,take (a person) along,私も連れて行ってください。,Please take me along.
連れて来る,つれてくる,bring (a person),息子が友達を連れて来ました。,My son brought a friend.
常に,つねに,"always, at all times",彼は常に姿勢がいい。,His posture is always good.
関わる,かかわる,"involve, concern",医師は人の命に関わる大切な職業だよ。,"A doctor's job is very important, as people's lives depend on it."
海,うみ,"sea, ocean",海は広くて大きい。,The sea is vast and wide.
叩く,たたく,"tap, hit",彼は子供のおしりを叩いた。,He slapped his child on the bottom.
感覚,かんかく,"sense, sensation",冷えて指の感覚がない。,I am so cold I can't feel my fingers.
幸せ,しあわせ,"happiness, good fortune",良い友達がいて私は幸せだ。,I'm happy to have good friends.
たくさん,たくさん,"in large quantity, plenty",昨日はたくさん泳ぎました。,I swam a lot yesterday.
突然,とつぜん,"abruptly, suddenly",彼は突然走り出したのよ。,He suddenly began to run.
集まる,あつまる,"gather, be collected",駅前に人が集まっています。,Lots of people are gathered in front of the station.
会話,かいわ,conversation,親子の会話は大切です。,Conversation between parents and children is important.
握る,にぎる,"grasp, make hand-rolled sushi balls",少女は母親の手を握った。,The girl clasped her mother's hand.
避ける,さける,"avoid, evade",彼女は昨日から私のことを避けているようなんだ。,She seems to have been avoiding me since yesterday.
固い,かたい,"stiff, tight",私の上司は頭が固い。,My boss is stubborn.
抜ける,ぬける,"come out, leave",彼はグループから抜けました。,He left the group.
ちょうど,ちょうど,"just, as if",値段はちょうど3万円です。,"The price is exactly 30,000 yen."
客,きゃく,"visitor, customer",その店は若い客が多いです。,That shop has a lot of young customers.
報告,ほうこく,report,昨日の会議について報告があります。,There's a report about yesterday's conference.
響く,ひびく,"reverberate, vibrate",彼の声はよく響きます。,His voice carries well.
会,かい,"meeting, association",会は午後9時に終わりました。,The meeting ended at 9:00 pm.
経つ,たつ,"pass, elapse",あれから14年が経ちました。,Fourteen years have passed since then.
勢い,いきおい,"vigor, momentum",そのチームには勢いがありますね。,That team has momentum.
熱い,あつい,"hot (things, touch)",このスープはとても熱い。,This soup is very hot.
示す,しめす,"show, indicate",彼は新製品に興味を示している。,He's showing interest in the new product.
席,せき,"seat, one's place",この席、空いてますか。,Is this seat free?
楽しむ,たのしむ,enjoy,今日は一人の時間を楽しみたい。,Today I would like to enjoy some time to myself.
運ぶ,はこぶ,"carry, transport",いすを二階に運んでください。,Please carry the chair to the second floor.
想像,そうぞう,imagination,そんなことは想像できないよ。,I can't imagine such a thing.
予定,よてい,"schedule, plan",今日の予定を教えてください。,Please tell me what your schedule is for today.
普段,ふだん,"usual, ordinary",私は普段はTシャツとジーンズを着ています。,I usually wear a T-shirt and jeans.
一杯,いっぱい,full,プールは人で一杯です。,The pool is packed.
調べる,しらべる,"investigate, check",この単語の意味を辞書で調べましょう。,Let's look up the meaning of this word in the dictionary.
用意,ようい,"prepare, ready oneself",食事の用意ができました。,The meal is ready.
約束,やくそく,"promise, vow",約束は守ります。,I keep my promises.
家,うち,"house, home",家に遊びに来てください。,Please come over to my house.
一応,いちおう,tentatively,彼にも一応知らせておいたほうがいいだろう。,It'd be better to just let him know.
どうやら,どうやら,"seems, looks like",明日はどうやら雨らしいよ。,It looks like it's going to rain tomorrow.
雰囲気,ふんいき,"atmosphere, mood",とても雰囲気のいいお店ですね。,The shop has a really good atmosphere.
尋ねる,たずねる,"inquire, search for",彼女は道を尋ねた。,She asked for directions.
味,あじ,"taste, flavor",この料理は味が薄い。,This food is tasteless.
役,やく,"role, part",彼女は弁護士の役を演じているんだ。,She's playing the part of a lawyer.
王,おう,king,王の墓を見学したよ。,I visited the royal grave.
抜く,ぬく,pull out,ワインのコルクを抜きました。,I uncorked the wine.
残念,ざんねん,"regretful, disappointing",その試合は残念な結果になった。,The result of the game was disappointing.
若い,わかい,young,彼はまだ若いです。,He's still young.
取り出す,とりだす,"take out, pull out",彼はポケットから財布を取り出したの。,He took his wallet out of his pocket.
期待,きたい,"expectation, anticipation",みんな私たちに期待しています。,Everyone has high expectations of us.
自ら,みずから,oneself,社長自らがその会社と交渉したよ。,The president himself negotiated with the company.
山,やま,mountain,山の空気はきれいだ。,The mountain air is clean.
重い,おもい,heavy,このかばんは重いです。,This bag is heavy.
判断,はんだん,"judgment, decision",彼の判断は正しい。,His judgment is correct.
一般に,いっぱんに,"generally, in general",一般に老人は早起きです。,"In general, elderly people get up early."
働く,はたらく,work,姉は銀行で働いています。,My big sister works at a bank.
広がる,ひろがる,"spread out, reach",留学してから私の世界が広がった。,My world expanded after studying abroad.
町,まち,"town, machi, city quarter",あの町は緑を増やしています。,That town is increasing its greenery.
現実,げんじつ,"actuality, reality",現実は予想より厳しかった。,The reality was harsher than we expected.
途中,とちゅう,"on the way, half way",途中で30分ほど休みましょう。,Let's take a rest on the way for about 30 minutes.
積極的,せっきょくてき,"positive, active",姉は何に対しても積極的です。,My elder sister is positive about everything.
面倒,めんどう,"troublesome, difficult",会社で面倒なことが起こったの。,There was some trouble at the office.
取れる,とれる,"come off, be removed",シャツのボタンが取れた。,My shirt button came off.
お母さん,おかあさん,mother,お母さんによろしくお伝えください。,Please give my best to your mother.
はっきり,はっきり,clearly,今日は山がはっきり見える。,You can see the mountains clearly today.
眺める,ながめる,"look out, gaze",猫が窓から外を眺めているよ。,The cat is at the window staring outside.
涙,なみだ,tear,彼女の目から涙がこぼれた。,Tears rolled down from her eyes.
珍しい,めずらしい,"rare, precious",昨日珍しい果物を食べました。,I ate some unusual fruit yesterday.
比べる,くらべる,"compare, contrast",今月と先月の売上を比べた。,I compared this month's sales with last month's.
妹,いもうと,younger sister,私の妹は小学生です。,My little sister goes to elementary school.
倒す,たおす,"bring down, overthrow, defeat",そのスキーヤーはポールを倒した。,The skier knocked the pole down.
疲れる,つかれる,"get tired, become fatigued",私は疲れてふらふらです。,I'm tired and feel dizzy.
明らか,あきらか,"clear, obvious",明らかに彼が悪い。,It's clearly his fault.
移動,いどう,"movement, shift",私たちはレンタカーで移動しました。,We traveled around by a rental car.
三つ,みっつ,three (things),コップを三つ買いました。,I bought three glasses.
考え,かんがえ,"thought, view, idea",それは良い考えです。,That's a good idea.
遅い,おそい,"slow, late",前の車はとても遅い。,The car in front is very slow.
決して,けっして,"never, by no means",このことを決して忘れないでください。,Please never forget this.
溜め息,ためいき,sigh,母は溜め息をついたの。,My mother sighed.
終える,おえる,"end, finish",やっと宿題を終えた。,At last I have finished my homework.
刺す,さす,"stab, prick, sting",虫に腕を刺されました。,I was stung on the arm by an insect.
指す,さす,"point to, aim at",時計が12時を指してる。,The clock points to 12 o'clock.
繰り返す,くりかえす,repeat,彼女は同じ間違いを繰り返した。,She repeated the same mistake.
変化,へんか,change,今年は変化の多い年でした。,There was a lot of change this year.
叫ぶ,さけぶ,"shout, cry out",彼女は助けを求めて大声で叫んだの。,She cried out for help.
際,さい,"occasion, time",この際はっきり言っておきます。,It's a good opportunity to speak frankly.
それぞれ,それぞれ,"each, respective",人はそれぞれ考え方が違います。,People all have different ideas.
火,ひ,fire,火を消して。,Put the fire out.
腹,はら,belly,腹が減って動けない。,I'm too hungry to move.
吐く,はく,"holler, spew",彼は乱暴な言葉を吐いたぞ。,He hollered some rough words.
襲う,おそう,"raid, attack",山で登山客が熊に襲われたよ。,Some climbers were attacked by a bear in the mountains.
人物,じんぶつ,"character, person",彼は会社の重要な人物です。,He is an important person in the company.
眠る,ねむる,sleep,昨日は8時間眠りました。,I slept for eight hours yesterday.
安心,あんしん,"peace of mind, relief",それを聞いて安心しました。,I was relieved to hear that.
語る,かたる,"tell, talk",今夜は大いに語りましょう。,Let's talk about everything tonight.
余裕,よゆう,"room, leeway",出発まで時間の余裕があります。,There's plenty of time until departure.
地面,じめん,"surface, ground",地面に何か絵が描いてあるぞ。,There is a picture drawn on the ground.
貼る,はる,"stick, paste",机にシールを貼った。,I stuck a sticker on the desk.
張る,はる,"strain, be stretched",疲れて肩が張っています。,My shoulders are stiff with fatigue.
下りる,おりる,"go down, come down",そこの階段を下りてください。,Please go down those stairs.
降りる,おりる,"get off, land",次の駅で降ります。,I get off at the next station.
受け取る,うけとる,"receive, understand",彼からメールを受け取りました。,I got an email from him.
抱える,かかえる,hold in one's arms,彼は大きな荷物を抱えているわ。,He is carrying some large luggage.
返事,へんじ,"answer, reply",手紙の返事を出しました。,I sent a reply to the letter.
現在,げんざい,"the present, present time",現在の気温は30度です。,The current temperature is 30 degrees.
作業,さぎょう,"work, operation",作業するにはもっと広いスペースが必要だ。,I need a bigger space to work.
足りる,たりる,"suffice, serve, be satisfied",お金が足りなくて買えなかった。,I couldn't buy it because I didn't have enough money.
酒,さけ,"alcoholic drink, Japanese rice wine",彼女は酒に強い。,She holds her liquor well.
感じる,かんじる,"feel, sense",膝に痛みを感じます。,I feel a pain in my knee.
本人,ほんにん,"the person himself, the said person",それは本人に聞いてください。,Please ask the person in question.
両手,りょうて,both hands,彼は両手を握り締めたの。,He clenched his fists.
多く,おおく,"much, largely",毎年多くの人が海外へ旅行する。,A lot of people travel abroad every year.
ほほえむ,ほほえむ,smile,彼女は私にほほえんだよ。,She smiled at me.
撫でる,なでる,"stroke, pat",猫の頭を撫でてあげた。,I patted the cat's head.
予想,よそう,"prospect, expectation",私の予想が当たった。,My forecast proved right.
黒い,くろい,"black, dark",彼女は黒いドレスを着ています。,She's wearing a black dress.
態度,たいど,"attitude, manner",あの男の態度にみんなあきれてたよ。,Everyone was tired of the man's attitude.
低い,ひくい,"low, short",彼は背が低い。,He's short.
向く,むく,"turn, face, look",こっちを向いてください。,Please turn this way.
むく,むく,"peel, pare",人参の皮をむきました。,I peeled the carrot.
意外,いがい,"unexpected, unforeseen",意外にも彼は独身です。,"Surprisingly, he is single."
流れる,ながれる,"flow, pass, drift away",ラジオから美しい音楽が流れています。,Beautiful music is coming from the radio.
時代,じだい,"age, antiquity",今は便利さとスピードの時代だ。,This is the age of convenience and speed.
もっとも,もっとも,quite right,彼の意見はもっともです。,His opinion is quite right.
最も,もっとも,the most,彼は世界で最も早い男です。,He's the fastest man in the world.
次第に,しだいに,"gradually, by degrees",その事件は次第に忘れられていったのさ。,The incident was gradually forgotten.
方向,ほうこう,"direction, course",あの人たちは皆、同じ方向を見ている。,Those people are all looking in the same direction.
振り返る,ふりかえる,"turn one's head, turn round",学生時代を懐かしく振り返ったんだ。,I looked back fondly on my school days.
浮かぶ,うかぶ,float,沖にボートが浮かんでいます。,The boat is floating off the coast.
正しい,ただしい,"correct, righteous, lawful",それは正しい答えです。,That's the correct answer.
必ず,かならず,"without fail, certainly",必ずシートベルトを着けて下さい。,Always wear your seat belt.
この度,このたび,on this occasion,この度はご結婚おめでとうございます。,Congratulations on your marriage.
仕方,しかた,"way, method",ファイルのダウンロードの仕方が分かりません。,I don't know how to download the file.
見つかる,みつかる,"be found, be caught",メガネが見つかりません。,I can't find my glasses.
せっかく,せっかく,"with much trouble, specially",せっかく来たんだからゆっくりして行きなさい。,"Since you've come all the way, why don't you stay for a while?"
研究,けんきゅう,"research, study",彼は何年も地震の研究をしている。,He's been researching earthquakes for many years.
用,よう,things to do,私に何か用ですか。,Do you need me for something?
責任,せきにん,"responsibility, liability",彼は失敗の責任を取って、会社を辞めた。,He took responsibility for the mistake and resigned from the company.
抱く,いだく,"embrace, hug",少年よ大志を抱け。,"Boys, be ambitious."
量,りょう,"quantity, volume",最近、食事の量を減らしています。,"Lately, I'm cutting down how much food I eat."
並ぶ,ならぶ,"line up, be parallel",ここに並んでください。,Please line up here.
つながる,つながる,"connect, join",電話がつながりません。,Phone calls aren't getting through.
わずか,わずか,"few, little",彼はわずかな貯金で暮らしている。,He lives on his meager savings.
影響,えいきょう,"influence, effect",私は彼から大きな影響を受けました。,I was deeply influenced by him.
納得,なっとく,"acceptance, persuasion",彼の説明で納得できました。,I was able to accept his explanation.
追う,おう,"chase, pursue",警官は怪しい男の後を追ったよ。,The police officer went after the suspicious man.
位置,いち,"position, place",私の町は東京の北に位置します。,My town is located north of Tokyo.
過ごす,すごす,"pass, let pass",夏休みを高原で過ごしました。,I spent the summer vacation in the highlands.
美しい,うつくしい,beautiful,この絵は美しいです。,This picture is beautiful.
重要,じゅうよう,"important, essential",これは重要な書類です。,This is an important document.
緊張,きんちょう,"tension, strain",彼は緊張していたな。,He felt nervous.
影,かげ,"shadow, shade",窓に男性の影が映っています。,There's a man's shadow reflected in the window.
文字,もじ,"character, letter",壁に文字が書いてあった。,There was some writing on the wall.
中心,ちゅうしん,"center, middle",ここが建物の中心です。,This is the center of the building.
進める,すすめる,"advance, promote",早く授業を進めましょう。,Let's hurry up and proceed with our class.
当たり前,あたりまえ,"of course, obvious",あなたの成績が下がったのは当たり前です。,No wonder your grades dropped.
集める,あつめる,"collect, gather",弟は切手を集めています。,My little brother collects stamps.
非常,ひじょう,"emergency, calamity",非常事態です。,We're in a state of emergency!
必死,ひっし,desperation,学生たちは授業についていくのに必死です。,Students are desperately trying to follow the class.
当てる,あてる,"guess, hit the jackpot",彼はくじ引きで一等賞を当てたよ。,He won the first prize in the lottery.
住む,すむ,"live, reside",彼は会社の近くに住んでいる。,He lives near his office.
諦める,あきらめる,"abandon, give up",彼は留学の夢を諦めていないよ。,He hasn't given up his dream of studying abroad.
関する,かんする,"concern, relate to",その問題に関する記事を読みました。,I read an article about the problem.
伝わる,つたわる,"be transmitted, be handed down",漢字は中国から伝わった。,Chinese characters were transmitted from China.
例えば,たとえば,for example,例えば、このソフトで日本語を勉強することができます。,"You can use this software to study Japanese, for example."
載せる,のせる,"place, put on",皿にケーキを載せました。,I put the cake on the plate.
窓,まど,"window, windowpane",窓を開けてください。,Please open the window.
付き合う,つきあう,"socialize with, see someone",彼女と4年ほど付き合っています。,I've been seeing her for 4 years now.
疑問,ぎもん,"question, doubt",彼の言葉が本当かは疑問です。,I doubt whether what he says is true.
背,せ,"height, stature",彼女は背が高い。,She's tall.
奪う,うばう,"rob, take by force",その男は彼女のバッグを奪ったぞ。,That man stole her bag.
過去,かこ,the past,それは過去の話だ。,That's in the past now.
加える,くわえる,"add, include",塩、コショウを加えてください。,Please add the salt and pepper.
望む,のぞむ,"desire, hope",彼は私との結婚を望んでいます。,He wants to marry me.
休む,やすむ,"take a day off, take a break",明日、会社を休みます。,I'm off work tomorrow.
倒れる,たおれる,"fall over, succumb",強風で木が倒れた。,The tree fell in the gale.
広い,ひろい,"wide, big",彼の家はとても広い。,His house is very big.
迎える,むかえる,"welcome, go out to meet, invite",姉が空港まで迎えに来てくれます。,My big sister is coming to pick me up at the airport.
本気,ほんき,"seriousness, earnestness",いや、僕は本気なんだ。,"No, I'm serious."
通す,とおす,"let pass, run through",針に糸を通してください。,Please thread the needle.
自由,じゆう,freedom,今日は自由な時間が多い。,I have a lot of free time today.
少なくとも,すくなくとも,at least,この仕事には少なくとも2週間必要でしょう。,At least two weeks will be needed for this job.
詳しい,くわしい,"detailed, complete",もっと詳しく説明してください。,Please explain in greater detail.
幾ら,いくら,how much,この靴は幾らですか。,How much are these shoes?
素直,すなお,"honest, straightforward",彼女はとても素直で可愛いですね。,She is very honest and cute.
原因,げんいん,"cause, origin",この事故の原因は何ですか。,What's the cause of the accident?
弱い,よわい,weak,その子は体が少し弱い。,That child has a somewhat weak constitution.
挨拶,あいさつ,"greet, greeting",彼女は笑顔で挨拶した。,She greeted me with a smile.
流す,ながす,"let flow, set adrift",彼女は涙を流したんだ。,She shed tears.
利く,きく,"work, function",彼女は気が利いている。,She's very thoughtful.
我々,われわれ,we,我々の決意は固いです。,Our decision is firm.
事情,じじょう,"circumstances, conditions",あなたの事情はよく分かりました。,I understand your situation well.
穴,あな,"hole, cavity",靴下に穴が開いている。,There are holes in my socks.
大体,だいたい,"outline, generally",大体、初めから無理な計画だったのだ。,"To be fair, it was a far-fetched plan from the beginning."
肌,はだ,"skin, surface",彼女は肌がとても白いですね。,Her skin is very white.
大人,おとな,adult,お酒は大人になってから。,You can drink alcohol when you're an adult.
自信,じしん,self-confidence,あの人の顔には自信があふれているね。,That person's face is brimming with confidence.
毎日,まいにち,every day,私たちは毎日散歩をします。,We go for a walk every day.
全身,ぜんしん,the whole body,運動した翌日は全身の筋肉が痛い。,I have muscular pain all over my body the day after I exercise.
申し訳,もうしわけ,"excuse, apology",申し訳ございません。,I'm very sorry.
売る,うる,sell,彼は家を売った。,He sold the house.
狙う,ねらう,"aim, be after",来年は優勝を狙います。,We will aim for a victory next year.
包む,つつむ,"wrap, pack",プレゼントをきれいな紙で包みました。,I wrapped the present in beautiful paper.
噂,うわさ,"gossip, rumor",その噂は本当ですか。,Is the rumor true?
協力,きょうりょく,"cooperation, collaboration",このプロジェクトにはみんなの協力が必要です。,This project requires everyone's cooperation.
立場,たちば,"standpoint, position",彼女は自分の立場を分かっていない。,She doesn't understand her position.
椅子,いす,chair,そのお年寄りは椅子に座った。,That old person sat on a chair.
連絡,れんらく,"connection, communication",仕事が終わったら連絡します。,I'll contact you when I finish the job.
急ぐ,いそぐ,"hurry, hasten",私たちは駅へ急ぎました。,We hurried to the station.
武器,ぶき,"weapon, arms",彼らは武器を取り、立ち上がった。,"They took arms, and stood up."
元々,もともと,"originally, by nature",彼女は元々フランスに行くつもりだったの。,She was planning to go to France originally.
石,いし,"stone, small rock",私は石につまづいた。,I tripped on a stone.
一部,いちぶ,part,計画を一部変更しましょう。,Let's change part of the plan.
閉じる,とじる,close,教科書を閉じてください。,Please close your textbooks.
癖,くせ,"habit, mannerism",爪をかむ癖は直した方がいい。,You should stop the habit of biting your nails.
突く,つく,"thrust, poke",彼はビリヤードの球を上手に突くね。,He shoots pool very well.
事件,じけん,"affair, case",その事件の犯人はまだ捕まっていない。,The perpetrator of the incident hasn't been caught yet.
触る,さわる,"touch, feel",絵に触らないでください。,Please don't touch the painting.
空間,くうかん,"space, room",狭い空間に物がたくさん置いてあるね。,A lot of things have been put into a tight space.
含む,ふくむ,"contain, include",その食品は有害物質を含んでいるぞ。,The food contains a poisonous substance.
こっち,こっち,here,こっちに来て下さい。,Please come here.
じっと,じっと,"without moving, still",あの生徒はじっと先生の話を聞いていたね。,The pupil listened quietly to the teacher.
受け入れる,うけいれる,"accept, accommodate",私は彼の意見を受け入れました。,I accepted his opinion.
改めて,あらためて,once again,改めてあなたのご意見を聞かせて下さい。,Please let me hear your opinion again.
床,ゆか,floor,床がぬれている。,The floor is wet.
従う,したがう,"follow, obey",上司の指示に従った。,I followed my boss' instructions.
自然,しぜん,nature,みんなで自然を守りましょう。,Let's all work to protect Nature.
おじ,おじ,uncle,おじは銀行に勤めています。,My uncle works for a bank.
耐える,たえる,"withstand, endure",このビルは大地震に耐えられるでしょうか。,Would this building be able to withstand a large earthquake?
失礼,しつれい,"impoliteness, bad manners, I beg your parden/Goodbye",ではそろそろ失礼します。,"Well, it's about time for me to go."
人々,ひとびと,people,あの村の人々はとても親切です。,People in that village are very kind.
見上げる,みあげる,look up,私は空を見上げたの。,I looked up at the sky.
やがて,やがて,"soon, before long",やがて雪も止むでしょう。,The snow will stop before long.
基本,きほん,"basis, foundation",今、ジャズダンスの基本を習っています。,We're learning the basics of jazz dance at the moment.
込める,こめる,"put in, concentrate on",彼は感情を込めてその歌を歌ったの。,He sang the song with feeling.
邪魔,じゃま,disturbing,邪魔です、どいてください。,"You're in the way, so please move."
厳しい,きびしい,"strict, severe, intense",私の上司はとても厳しい。,My boss is very strict.
参加,さんか,participation,明日は市民マラソンに参加します。,I'll participate in the citizens' marathon tomorrow.
描く,えがく,"depict, describe",彼は人物を描くのがうまいな。,He is good at drawing people.
巨大,きょだい,"huge, gigantic",あの巨大な建物は博物館です。,That huge building is a museum.
三日,みっか,"three days, 3rd of the month",手紙が届くのに三日かかりました。,It took three days for the letter to arrive.
冗談,じょうだん,joke,冗談は止めてください。,Please stop joking.
結婚,けっこん,marriage,彼女は来月結婚します。,She's getting married next month.
おなか,おなか,stomach,おなかが空きました。,I'm hungry.
猫,ねこ,"cat, feline",私は猫が大好きです。,I love cats.
捨てる,すてる,"discard, abandon",ゴミを捨ててください。,Please throw away the garbage.
男性,だんせい,"male, man",彼は素敵な男性です。,He's a wonderful man.
特別,とくべつ,"special, extraordinary",あなたは私にとって特別な人です。,You're special to me.
そっと,そっと,"softly, gently",母親は娘の髪をそっとなでたの。,The mother quietly patted her daughter's hair.
行為,こうい,"act, conduct",彼の行為はみんなの誤解を招いたわ。,His actions ended up misleading everyone.
本来,ほんらい,"originally, essentially",彼女はプレッシャーから解放されて本来の自分に戻ったな。,She was relieved of the pressure and became herself again.
調子,ちょうし,"tone, condition",体の調子がとても良いです。,I'm in good physical condition.
意見,いけん,opinion,あなたの意見が聞きたいです。,I want to hear your opinion.
我慢,がまん,"patience, self-restraint",彼のわがままには我慢できません。,I can't put up with his selfishness.
相談,そうだん,"consultation, advice",相談したいことがあります。,I'd like to get your advice on something.
回す,まわす,"turn, rotate",ねじは左に回すと外れます。,If you turn the screw to the left it will come undone.
炎,ほのお,"flame, blaze",ろうそくの炎が部屋を照らしたんだ。,The candle's flame lit the room.
正に,まさに,"just, surely",彼は正に英雄ね。,He's a real hero.
渡る,わたる,"cross, ford, go across",私たちは歩いて橋を渡った。,We walked over the bridge.
お父さん,おとうさん,father,お父さんは会社員です。,My father's a company employee.
全体,ぜんたい,"whole, total",全体の80パーセントが完成しました。,80 percent of the total was completed.
限る,かぎる,be limited to,このサービスは週末に限ります,This service is limited to weekends.
どんどん,どんどん,steadily,彼は山道をどんどん進んで行ったの。,He made quick progress along the mountain path.
かつて,かつて,"once, formerly",かつて私が学生だった頃のことです。,That was when I was still a student.
まずい,まずい,"bad-tasting, bad",ここの料理はまずい。,The food here is bad.
条件,じょうけん,"condition, item",この条件では厳し過ぎます。,It's too harsh under these conditions.
寂しい,さびしい,"lonely, desolate, sad",これは寂しい曲ですね。,This is a sad song.
役に立つ,やくにたつ,"be useful, be helpful",私は人々の役に立ちたいと思っています。,I want to be of service to others.
失敗,しっぱい,"failure, mistake",一度の失敗であきらめてはいけないよ。,You must not give up after one setback.
勉強,べんきょう,study,私は日本語を勉強しています。,I'm studying Japanese.
機会,きかい,"opportunity, occasion",家族で話し合う機会を持ちました。,I set up an opportunity to have a discussion with the family.
要る,いる,"need, require",予約は要りません。,Reservations are not required.
愛する,あいする,"love, care for",私は家族を愛しています。,I love my family.
様々,さまざま,"various, diverse",その都市には様々な人種が集まっているわ。,There are a lot of different ethnic groups in this city.
少年,しょうねん,boy,少年たちがサッカーをしている。,The boys are playing soccer.
のぞく,のぞく,"look, peep",ドアの隙間から中をのぞいたんだ。,I peeped inside through the crack in the door.
感謝,かんしゃ,"gratitude, thanks",家族に感謝しています。,I am grateful to my family.
